100000,"Раздел III УПРАВЛЕНИЯ ЛАГЕРЕЙ, ЛАГЕРНЫЕ ОТДЕЛЕНИЯ ЦЕНТРАЛЬНОГО ПОДЧИНЕНИЯ",,,,,,,,,,,,,,,,,
100001,"АВТОТРАНСПОРТНЫЙ ИТЛ ДАЛЬСТРОЯ (ИТЛ Упр. автотранспорта, Транслаг, Транспортное ЛО, ИТЛ Автотранспорта, Автотранспортный ИТЛ УСВИТЛа)",Время существования: организован не позднее 01.02.51 [1]1; закрыт 05.08.54 [2].,"Реорганизован: между 22.05.51 и 01.05.52 из ЛО в ИТЛ [3], {21. Л. 55}2.","Подчинен: ГУ ИТ лагерей Дальстроя в 1951–1952 гг. [1], {21. Л. 55}; УСВИТЛ в 1953–1954 гг. {21. Л. 667}, [2].","Дислокация: Магаданская обл., пос. Мякит {21. Л. 667, 733}.","Литер: АВ-4 {21. Л. 667, 733}.",Телегр. код: нет {21. Л. 667}.,"Адрес: Магаданская обл., пос. Мякит, п/я АВ-261/206 на 01.08.53 {21. Л. 733}; п/я АВ-261/46 на 11.12.53 {21. Л. 667}.","Производство: работа в цехах на участках автобаз, на Спорненском авторем. з-де3, стр-во в пос. Мякит, обслуживание угольных шахт Первомайского угольного р-на {21. Л. 55–70}.",Численность: 22.05.51 — 4316 [3]; 01.09.51 — 59274 [4]; 01.05.52 — 62655 {21. Л. 55–70}; 01.08.53 — 3643 {21. Л. 733}; 02.02.54 — 4433 {21. Л. 671}.,"Начальники: нач. — майор Абаев ?.?. (упом. 01.05.52) {21. Л. 70}; п/п инт.с. Карпов Б.Н., ? — по 15.07.52 [5]; инж.-майор Толкачев С.С., с 15.07.52 — ? [5]; майор Ершов ?.?. (упом. 01.08.53) {21. Л. 733}6.",Архив: ?,,Примечания: ,Источники: ,,с.с.,"61.407434, 152.090060"
,,,,,,,,,,,,,,,Пр. 021/л МЮ от 01.04.53.,,,
100003,"АЗОВСКОЕ ЛО (Азовлаг, ЛО при Строительстве 462)",Время существования: организовано 01.12.54 (расп. МВД № 12741) [1. Л. без №]1; закрыто 07.05.55 (расп. МВД № 11/6–179) [1. Л. 8].,,Подчинено: ГУЛАГ до 02.02.55; Главспецстрой с 02.02.55 {27}.,"Дислокация: Украинская ССР, г.Кривой Рог [1. Л. 5].",Литер: ЖЛ с 02.02.55 {42}.,Телегр. код: нет {42}.,"Адрес: Украинская ССР, г.Кривой Рог, п/я 38 {42}.",Производство: обслуживание Стр-ва 462 Главспецстроя {42}.,"Численность: 01.01.55 — 1865, 01.05.55 — 1821 (УРО); 01.03.55 — 2043 [1. Л. 5об.].","Начальники: нач. — полк. Минаев Г.Е., с 01.12.54 по 07.05.55 [1. Л. 3, 8].",Архив: В УИТЛК МВД Украинской ССР {1}.,,Примечание: ,Источники: ,"См. также: АЗОВСКИЙ ИТЛ, СТРОИТЕЛЬСТВО 462 И ИТЛ.",,"47.910492, 33.391871"
,,,,,,,,,,,,,,"1 Название ""Азовское ЛО"" присвоено 02.02.55 {42}",ГАРФ. Ф. 9414. Оп. 1д. Д. 566.,,,
100004,"АКТЮБИНСКИЙ ИТЛ (Актюбинлаг, Актюбкомбинат, Актюбинстрой, ИТЛ и Строительство Актюбинского комбината НКВД)","Время существования: организован 27.02.40 [1], закрыт 24.04.46 [2]1.",,"Подчинен: ГУЛАГ с 27.02.40 [1]; ГУЛПС с 26.02.41 [3, 4]; УЛСПЧМ с 14.05.41 [5]; ГУЛГМП с 02.07.41 [6]2; ГУЛПС с 19.03.42 [7].","Дислокация: Казахская ССР, г.Актюбинск {11, 13–15}.",Литер: А с 25.12.45 {16}.,Телегр. код: нет {15}.,"Адрес: г.Актюбинск Казахской ССР, п/я 7 на 17.10.40 {11}; п/я 105 по крайней мере в период 24.03.42 — 08.06.45 {13–15}.","Производство: стр-во Актюбинского ферросплавного комб. [7], добыча и отгрузка хромовых и железо-никелевых руд на Донском и Кимперсайском месторождениях [8], эксплуатация карьеров Батамшинского никелевого рудника [9], стр-во Кимперсайского рудоуправления комб. ""Южуралникель"" [10], разработка Мугоджарского карьера кварцитов [11], обслуживание Берчогурской угольной шахты № 1 (с 25.11.42) [12], геологоразведочные работы [13], стр-во ТЭЦ и ДОК [14], кирп. з-да [15], лесоразработки в Куйбышевской [16] и Оренбургской обл. [11], стр-во жилья, водопровода, паровозного депо [9], ж/д пути, шоссе, дробильно-сортировочной ф-ки, производство кирпича, извести и алебастра, разработка каменных карьеров [17], подсобные с/х работы, рыболовство [16], швейное производство для собственных нужд [18].","Численность: 01.07.40 — 4500 (УРО); 01.01.41 — 8079, 01.07.41 — 7181 [4]; 01.01.42 — 10 201, 01.01.43 — 14 8423, 01.01.44 — 11 831, 01.01.45 — 9121, 01.12.45 — 4553 (УРО)4.","Начальники: нач. — кап. ГБ Кузнецов М.М., с 27.02.40 — не ранее 08.10.41 [1, 19]; майор ГБ Тарасюк С.А., с 30.10.41 — ? [20]; майор ГБ Царевский М.М., не позднее 19.03.42 — по 17.04.43 [7, 21]; и.о. нач. (нач.) — инж.-п/п Бусыгин В.П., не позднее 26.04.43 — по 06.03.45 [22, 23]; и.о. нач. (нач.) — Гулько А.А., с 06.03.45 — ? [23]5; з/н — лейт. ГБ Попов Б.И., с 27.02.40 по 25.04.41 [1, 24]; ст. лейт. ГБ Дюдин Л.М., с 25.04.41 — ? [24].","Архив: В 1-м Спецотделе УМВД по Актюбинской обл.: л/д нач. состава, охраны и работников оперчекотдела, общее делопроизводство оперчекотдела; в Актюбинском облгосархиве: личные листки по учету кадров, протоколы медосвидетельствований и т.п. трудмобилизованных и трудармейцев. Л/д з/к и пр. нач. ИТЛ — нет {1, 2}.",,Примечания: ,Источники: ,См. также: КИМПЕРСАЙСКИЙ ИТЛ.,С.С.,"50.324101, 57.153745"
,,,,,,,,,,,,,,1 На базе ликвидируемого АКТЮБИНСКОГО ИТЛ организуются Актюбинская ИТК для предоставления рабочей силы стр-ву Актюбинского комб. и Донская ИТК для предоставления рабочей силы Донским хромитовым рудникам. ,Пр. 075 НКВД от 27.02.40. ,,,"

"
,,,,,,,,,,,,,,"2 Этим приказом ряд упр. МВД, в том числе УЛСПЧМ, были влиты в ГУЛГМП. ",Пр. 00350 МВД от 24.04.46. ,,,
,,,,,,,,,,,,,,"3 По др. данным, на 01.01.43 — 15 567, из них 1824 женщины, 2286 осужденных за к/р преступления [25]. ",Пр. 00212 НКВД от 26.02.41. ,,,
,,,,,,,,,,,,,,"4 В 1941 г. в лагере умерли 1176 з/к [26], в 1942 г. — 3672 [27]; 01.11.42 на стр-ве было 1543 мобилизованных немца, немцы продолжали работать там до конца 1945 г. [28, 29]. ","ГАРФ. Ф. 9414. Оп. 1д. Д. 371. Л. 2, 54. ",,,
,,,,,,,,,,,,,,"5 По-видимому, до закрытия ИТЛ, так как упом. 17.11.49 как б. нач. Актюбинского комб. МВД 05.10.50 [30].",Пр. 00576 НКВД от 14.05.41. ,,,
,,,,,,,,,,,,,,,Пр. 00855 НКВД от 02.07.41. ,,,
,,,,,,,,,,,,,,,Пр. 117 НКВД от 19.03.42. ,,,
,,,,,,,,,,,,,,,Пр. 139 НКВД от 31.03.42.  ,,,
,,,,,,,,,,,,,,,Пр. 045 НКВД от 03.02.43. ,,,
,,,,,,,,,,,,,,,Пр. 207/203 НКВД и НКЦМ от 06.05.44. ,,,
,,,,,,,,,,,,,,,Пр. 0444 НКВД от 04.12.43. ,,,
,,,,,,,,,,,,,,,Пр. 449/0453 НКУП и НКВД от 25.11.42. ,,,
,,,,,,,,,,,,,,,Пр. 0177 НКВД от 25.05.42. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1. Д. 30. Л. 48. ,,,
,,,,,,,,,,,,,,,Пр. 0283 НКВД от 05.06.41. ,,,
,,,,,,,,,,,,,,,Пр. 0170 НКВД от 03.05.43.  ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1. Д. 853. Л. 1–5. ,,,
,,,,,,,,,,,,,,,Там же. Д. 50. Л. 175.  ,,,
,,,,,,,,,,,,,,,Пр. 0435 НКВД от 08.10.41. ,,,
,,,,,,,,,,,,,,,Пр. 0463 НКВД от 30.10.41.  ,,,
,,,,,,,,,,,,,,,Пр. 920лс НКВД от 17.04.43. ,,,
,,,,,,,,,,,,,,,Пр. 0159 НКВД от 26.04.43. ,,,
,,,,,,,,,,,,,,,Пр. 190лс НКВД от 06.03.45. ,,,
,,,,,,,,,,,,,,,Пр. 00479 НКВД от 25.04.41.  ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1д. Д. 378. Л. 112. ,,,
,,,,,,,,,,,,,,,Там же. Д. 372. Л. 10. ,,,
,,,,,,,,,,,,,,,Там же. Д. 381. Л. 11. ,,,
,,,,,,,,,,,,,,,Там же. Д. 379. Л. 184. ,,,
,,,,,,,,,,,,,,,Там же. Д. 424. Л. 1–201. ,,,
,,,,,,,,,,,,,,,Пр. 1487лс МВД от 17.11.49.,,,
100005,"АЛДАНСКИЙ ИТЛ (Алданлаг, Алданзолото)",Время существования: организован 07.06.47 [1]; закрыт 29.04.53 {35}.,,"Подчинен: СГУ, в составе УИТЛК МВД Якутской АССР с 07.06.47 [1], {19}; ГУЛАГ МЮ с 02.04.53 {33}.","Дислокация: Якутская АССР, г.Алдан [1], {19, 22, 28}.","Литер: БЮ с 07.06.46 [1], {19, 22, 28}.","Телегр. код: ""Юпитер"" {19, 22, 28}.","Адрес: Якутская АССР, г.Алдан, п/я 395 {19}; г.Алдан Якутской АССР, п/я БЮ-395 {22, 28}.","Производство: добыча руды в шахтах Лебединского рудника, горные и земляные работы, капитальное стр-во, лесозаготовки [2. Разд. 3. Л. 3–11].","Численность: 01.08.47 — 2792, 01.01.48 — 3590 (УРО); 01.03.52 — 23561 [2. Разд. 3. Л. 2–10]; 01.01.53 — 2068 [3]; 15.04.53 — 1708 [2. Разд. 4. Л. 3].","Начальники: нач.— инж.-п/п Мальцев С.Ф. (управляющий ""Якутзолота"") с 07.06.47 по 04.03.49 [1, 4]2; инж.-кап. (инж.-п/п) Заикин Н.Е., с 11.05.49 по 01.04.53 [5], [2. Разд. 1. Л. 2об.]3; и.о. нач. — кап. в/с Филатов В.Г., с 01.04.53 — ? [6]; и.о. з/н — майор Иванов И.Н. (упом. 11.04.52) [7].","Архив: 1956 г. — в УИТЛК МВД Якутской АССР: л/д офицеров, охраны и вольнонаемных (л/д з/к — нет); материалы делопроизводства — 550; в 1-м Спецотделе МВД Якутской АССР: л/д руководящего офицерского состава {1, 2}. 1996 г. — в ИЦ МВД Республики Саха (Якутия): приказы нач. АЛДАНСКОГО ИТЛ [8].",,Примечания: ,Источники: ,См. также: СТРОИТЕЛЬНО-ЭКСПЛУАТАЦИОННОЕ УПР. 11 И ИТЛ.,,"58.609451, 125.381673"
,,,,,,,,,,,,,,1 В том числе 329 осужденных за к/р преступления. ,Пр. 00611 МВД от 07.06.47. ,,,
,,,,,,,,,,,,,,2 С.Ф.Мальцев с 03.05.48 был по совместительству нач. СТРОИТЕЛЬНО-ЭКСПЛУАТАЦИОННОГО УПР. 11 И ИТЛ [4]. ,ГАРФ. Ф. 9414. Оп. 1д. Д. 190. ,,,
,,,,,,,,,,,,,,"3 Согласно [9], 01.11.50 нач. АЛДАНСКОГО ИТЛ был п/п Сапронов.",Там же. Оп. 1. Д. 184. Л. 4. ,,,
,,,,,,,,,,,,,,,Пр. 263лс МВД от 04.03.49.  ,,,
,,,,,,,,,,,,,,,Пр. 586лс МВД от 11.05.49. ,,,
,,,,,,,,,,,,,,,Пр. 024/л МЮ от 01.04.53. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1. Д. 629. Л. 60. ,,,
,,,,,,,,,,,,,,,Письмо ИЦ МВД Республики Саха (Якутия) № 11–1247 от 13.09.96. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1д. Д. 152. Л. 1.,,,
100006,АЛЛУАЙВСКОЕ СТРОИТЕЛЬСТВО И ИТЛ (Аллуайвстрой),Время существования: организован 26.04.41 [1]1; закрыт 28.06.41 {12}2.,,Подчинен: ГУЛАГ с 26.04.41 [1]; УЛСПЧМ с 14.05.41 [2].,"Дислокация: Мурманская обл., в 90 км от ст. Пинозеро Кировской ж.д. [3].",Литер: нет.,Телегр. код: нет.,Адрес: ?,Производство: стр-во Аллуайвского феррониобиевого комб. [2].,Численность: ?3,"Начальники: нач. — Бусыгин В.П., с 21.06.41 — ? [4].",Архив: ?,,Примечания: ,Источники: ,См. также: ЕНСКОЕ СТРОИТЕЛЬСТВО И ИТЛ.,С.Ф.,"67.862029, 34.514323"
,,,,,,,,,,,,,,"1 Стр-во комб. передано из НКЦМ в ведение НКВД решением СНК от 21.04.41. Первое время сохранялось двойное подчинение, чуть позже, после вмешательства А.П.Завенягина, все руководство сосредоточено в НКВД [5. Л. 18]. ",Пр. 209 НКВД от 26.04.41. ,,,
,,,,,,,,,,,,,,2 Окончательное прекращение работ — конец сентября 1941 г. [5. Л. 18]. ,Пр. 00576 НКВД от 14.05.41. ,,,
,,,,,,,,,,,,,,"3 В УРО данных нет; 01.07.41 эвакуировано 2000 з/к, 24.09.41 последние 157 з/к переданы стр-ву объекта 251-А ГУАС [5. Л. 18].",ГАРФ. Ф. 8361. Оп. 1. Д. 4. Л. 2–3. ,,,
,,,,,,,,,,,,,,,Пр. 127сс/00816 НКЦМ и НКВД от 21.06.41. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 8361. Оп. 1. Д. 1.,,,
100007,АЛТАЙСКИЙ ИТЛ (Алтайлаг),Время существования: организован 22.01.43 [1]1; закрыт 06.04.45 [2]2.,,"Подчинен: ГУЛЖДС [2, 3].","Дислокация: ст. Кулунда Омской ж.д. [4]; Алтайский кр., с.Михайловка Михайловского р-на {2, 14}.",Литер: нет.,Телегр. код: нет.,"Адрес: ст. Кулунда Омской ж.д., п/я 308 [4], {14}.","Производство: стр-во ж.д. Кулунда—Михайловское, зданий для содовых печей Михайловского содового з-да (комб.) [1, 2]3, ЦЭС и 2-х паропроизводительных котлов з-да, жилищное стр-во [5]4.","Численность: 01.44 — 6473, 01.01.45 — 4024 (УРО); 01.07.44 — 6273 [6].","Начальники: нач.— майор ГБ Петренко И.Г., с 22.01.43 по 24.05.43 [1, 7]5; майор (п/п) ГБ Макаров И.Д., с 24.05.43 по 02.04.45 [7, 8]; з/н — Ефимов Н.Л., ? — по 24.05.43 [9]6.","Архив: 1956 г. — в архиве КАРАГАНДИНСКОГО ИТЛ: л/д з/к — 3507, картотека з/к — 9143, л/д мобилизованных немцев и вольнонаемных; в Алтайском краевом ГА (г.Барнаул): пр. по Алтайлагу, тех. материалы, списки мобилизованных немцев и специалистов; в 1-м Спецотделе УМВД по Карагандинской обл.: л/д вольнонаемных {1}. 1997 г. — в Центре хранения архивного фонда (ЦХАФ): тех. документация по стр-ву, переписка с ГУЛАГом, докладные записки и отчеты о состоянии лагеря, дислокация и штаты подр. Алтайстроя [10].",,Примечания: ,Источники:  ,"См. также: НИЖНЕ-АМУРСКИЙ ИТЛ, САРАНСКИЙ ИТЛ И СТРОИТЕЛЬСТВО ГУЛЖДС.",Д.Ш.,"52.568945, 78.928410"
,,,,,,,,,,,,,,"1 Приказано перебросить из НИЖНЕ-АМУРСКОГО ИТЛ до 5000 з/к с механизмами, оборудованием, автоколоннами. ",Пр. 00106 НКВД от 22.01.43.  ,,,
,,,,,,,,,,,,,,2 Переименован в Упр. САРАНСКОГО ИТЛ И СТРОИТЕЛЬСТВА ГУЛЖДС и передислоцирован в Караганду. ,Пр. 067 НКВД от 06.04.45.  ,,,
,,,,,,,,,,,,,,"3 Стр-во печей возложено на ГУЛЖДС без прямого указания на исполнителя, но так как др. лагерей ГУЛЖДС в этом районе не было, по-видимому, работы велись Алтайлагом [1]. ",Пр. 02 ГУЛЖДС НКВД от 18.03.44.  ,,,
,,,,,,,,,,,,,,4 З-д построен и ж.д. сдана в постоянную эксплуатацию в III кв. 1944 г. [11]. ,Пр. 00755 НКВД от 23.04.43.  ,,,
,,,,,,,,,,,,,,5 Одновременно оставался нач. НИЖНЕ-АМУРСКОГО ИТЛ [1]; освобождение от должности подтверждено также пр. НКВД [9]. ,Пр. 001311 НКВД от 24.10.44.  ,,,
,,,,,,,,,,,,,,6 Одновременно — з/н НИЖНЕ-АМУРСКОГО ИТЛ (на 26.05.43) [9].,ГАРФ. Ф. 9414. Оп. 1. Д. 325. Л. 107–110. ,,,
,,,,,,,,,,,,,,,Пр. 1189лс НКВД от 24.05.43.  ,,,
,,,,,,,,,,,,,,,ГАРФ. Служебная карточка ГУЛАГа. ,,,
,,,,,,,,,,,,,,,Пр. 00894 НКВД от 26.05.43.  ,,,
,,,,,,,,,,,,,,,Письмо ЦХАФ Алтайского кр. № 3 от 06.02.97.  ,,,
,,,,,,,,,,,,,,,Пр. 001312 НКВД от 24.10.44.,,,
100008,АМГУНЬСКИЙ ИТЛ (Амгуньлаг),Время существования: организован 03.03.46 [1]1; закрыт 15.01.47 [2]2.,,"Подчинен: АМУРСКОЕ УПР. СТРОИТЕЛЬСТВА БАМ И СТРОИТЕЛЬСТВА 500 ГУЛЖДС [2, 3]2.","Дислокация: Хабаровский кр., пос. Старт на 03.03.46 [1]; ст. Хурмули Дальневосточной ж.д. на 31.10.46 {17}.","Литер: АУ с 03.03.46 [1], {17}.",Телегр. код: нет.,"Адрес: г.Комсомольск-на-Амуре, п/я 365 на 31.10.46 {17}.",Производство: стр-во ж/д линии Комсомольск—Ургал (участок БАМа) [1].,"Численность: 01.04.46 — 1218, 01.12.46 — 5992, 01.01.47 — 6034, 01.02.47 — 6543 (УРО)3.","Начальники: нач. — п/п Потемкин Н.Ф., с 03.03.464 по 15.01.475 [1, 2].","Архив: В УИТЛК УМВД по Хабаровскому кр., в колонии № 7 г. Комсомольска-на-Амуре {1}.",,Примечания: ,Источники: ,"См. также: НИЖНЕ-АМУРСКИЙ ИТЛ, УРГАЛЬСКИЙ ИТЛ И СТРОИТЕЛЬСТВО ГУЛЖДС.",Д.Ш.,"51°00'28.0""N 136°53'55.8""E"
,,,,,,,,,,,,,,"1 Дата организации ИТЛ. Упр. Амгуньского стр-ва организовано 04.10.45 [3]. Отметим, что в сводках УРО Амгуньское стр-во упом. как самостоятельная единица с 01.01.46 (см. примеч. 3). ",Пр. 00181 МВД от 03.03.46. ,,,"51.007709, 136.898827"
,,,,,,,,,,,,,,"2 В [2, 3] говорится об Упр. Амгуньского стр-ва; ИТЛ не упом. ",Пр. 032 МВД от 15.01.47.  ,,,
,,,,,,,,,,,,,,"3 Кроме з/к на Амгуньском стр-ве использовали в/п японцев (на 01.07.46 — 16 956 в/п, на 01.01.47 — 20 741) и др. ""спецконтингенты"" [1, 3–5]. До организации ИТЛ, на 01.02.46, з/к — 906 чел., в/п — 19 551, общая численность ""списочного состава всех контингентов"" — 24 748 чел. [4]. Для изолированного содержания ""спецконтингента"" из числа не прошедших проверку, окруженцев и др. организованы спец. лаг. подр. [1]. ",Пр. 001133 МВД от 04.10.45. ,,,
,,,,,,,,,,,,,,"4 По совместительству с должностью нач. Упр. Амгуньского стр-ва (нач. Стр-ва с 04.10.45) [1, 3]. ","ГАРФ. Ф. 9414. Оп. 1д. Д. 447. Л. 2–4, 25–28, 45–48. ",,,
,,,,,,,,,,,,,,5 Назначен нач. УРГАЛЬСКОГО ИТЛ И СТРОИТЕЛЬСТВА ГУЛЖДС [2].,Там же. Д. 457. Л. 1–4.,,,
100009,АМУРСКИЙ ИТЛ (Амурлаг),Время существования: организован 07.06.47 [1]; закрыт 29.04.53 {35}.,,"Подчинен: СГУ, в составе УИТЛК УМВД по Хабаровскому кр. с 07.06.47 [1]; СГУ, в составе УИТЛК УМВД по Амурской обл. на 15.01.49 {19}; ГУЛАГ МЮ с 02.04.53 {33}.","Дислокация: Хабаровский кр., г.Свободный [1]; Амурская обл., г.Свободный {19, 22}; г.Благовещенск {1}1.",Литер: БЩ с 07.06.47 [1].,"Телегр. код: ""Тайга"" {19, 22}.","Адрес: Амурская обл., г.Свободный, п/я 51 {19}; Амурская обл., г.Свободный, п/я БЩ-51 {22, 28}.","Производство: золотодобыча (в том числе шахтная), строит. работы, лесозаготовки, добыча угля, стр-во дорог [2. Разд. 3. Л. 7, 10, 12].","Численность: 01.08.47 — 764, 01.01.48 — 2442 (УРО); 01.05.51 — 3024 [3]; 01.03.52 — 2803 [2. Разд. 3. Л. 2об.–13об.]2; 15.03.53 — 1956 [2. Разд. 4. Л. 5].","Начальники: нач. — инж.-майор Андреев А.П. (управляющий треста ""Амурзолото""), с 07.06.47 — не ранее 25.11.49 [1, 4]; инж.-полк. Лукинский М.А., с 1950 г. по 06.10.52 [2. Разд. 1. Л. 2об.], [5]; горный директор адм. сл. 1-го ранга Захаров Г.В., с 06.10.52 по 01.04.53 [5], [2. Разд. 1. Л. 2об.]; и.о. нач. лаг. — майор в/с Янков А.Н., с 01.04.53 — ? [6].","Архив: В ОИТК УМВД по Амурской обл.: л/д з/к — 500, приказы и др. материалы делопроизводства — 286, л/д офицеров и вольнонаемных {1, 2}.",,Примечания: ,Источники: ,,С.С.,"51°23'33.3""N 128°08'17.4""E"
,,,,,,,,,,,,,,"1 Вероятно, дислокация в {1} ошибочна. ",Пр. 00611 МВД от 07.06.47. ,,,"51.392580, 128.138179"
,,,,,,,,,,,,,,2 В том числе 217 осужденных за к/р преступления.,ГАРФ. Ф. 9414. Оп. 1д. Д. 193. ,,,
,,,,,,,,,,,,,,,Там же. Оп. 1. Д. 389. Л. 1. ,,,
,,,,,,,,,,,,,,,Пр. 0824 МВД от 25.11.49.  ,,,
,,,,,,,,,,,,,,,Пр. 1188лс МВД от 06.10.52. ,,,
,,,,,,,,,,,,,,,Пр. 024/л МЮ от 01.04.53.,,,
